storm_id,valid_time,forecast_time,ai-wind,wind_truth,ai-lat,lat_truth,ai-long,long_truth
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-06 15:00:00,49.83683064579964,45.0,31.550109448337558,24.2225,-75.00679963827133,-90.1473
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-07 15:00:00,44.62638379074633,45.0,36.81432170633077,28.5658,-67.58876814454794,-89.8756
AMANDA:CRISTOBAL-2020-3,2020-06-03 15:00:00,2020-06-08 15:00:00,39.94941785931587,30.0,41.83906978778839,32.518,-61.26072665065527,-91.8565
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-04 18:00:00,52.21320793032646,30.0,22.11603742476255,17.6,-83.8725687968731,-90.9
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-05 18:00:00,53.09864044189453,35.0,25.590935374015572,20.8,-83.05798846125603,-89.7
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-06 18:00:00,50.520322769880295,45.0,30.210310258609056,24.7,-76.05530905455352,-90.2
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-07 18:00:00,46.46258633583784,45.0,34.96549740726948,28.8667,-69.07564284831285,-89.8667
AMANDA:CRISTOBAL-2020-3,2020-06-03 18:00:00,2020-06-08 18:00:00,41.832225769758224,30.0,39.88298986830712,33.1667,-62.82154701665044,-91.9667
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-04 21:00:00,46.919487342238426,30.0,21.687585484801232,17.5975,-84.04717150747777,-90.6999
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-05 21:00:00,48.27113337814808,37.0,24.54657062009275,21.5225,-83.41960069894792,-89.8168
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-06 21:00:00,46.44299414008856,45.0,28.468663796502355,25.1825,-76.73094528913498,-90.1984
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-07 21:00:00,44.12463370710611,45.0,33.05698285470605,29.3382,-69.79776697218418,-89.7716
AMANDA:CRISTOBAL-2020-3,2020-06-03 21:00:00,2020-06-08 21:00:00,41.82654932141304,27.0,37.879280021631715,33.6157,-63.93277411460877,-91.9821
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-05 00:00:00,44.91444096900523,30.0,21.229155019445717,17.7,-84.02646103978158,-90.5
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-06 00:00:00,45.01005590893328,40.0,23.515284378039837,22.2,-83.57019345700742,-90.0
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-07 00:00:00,45.3425217512995,45.0,27.384839879506828,25.7,-77.02291516512634,-90.1667
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-08 00:00:00,45.26052505709231,45.0,32.058481176561116,29.8,-70.36335078895092,-89.8
AMANDA:CRISTOBAL-2020-3,2020-06-04 00:00:00,2020-06-09 00:00:00,44.34574294835329,25.0,37.0232760964036,34.1,-63.72827433541417,-92.0
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-05 03:00:00,40.79307362437248,30.0,20.62712436639555,17.9533,-83.69928776383401,-90.3375
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-06 03:00:00,42.509848326444626,40.0,22.758520876041054,22.7408,-83.6007301735878,-90.1109
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-07 03:00:00,45.5077264085412,45.0,26.589711627793314,26.2392,-77.41025459438563,-90.1266
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-08 03:00:00,47.4773745238781,40.0,31.213819636255504,30.0651,-70.08623801290989,-90.1208
AMANDA:CRISTOBAL-2020-3,2020-06-04 03:00:00,2020-06-09 03:00:00,47.34836809337139,25.0,35.93769116175175,34.7653,-63.48342807248235,-92.2251
AMANDA:CRISTOBAL-2020-3,2020-06-04 06:00:00,2020-06-05 06:00:00,40.55580899119377,30.0,20.85174079752639,18.3667,-83.59330240845681,-90.2
AMANDA:CRISTOBAL-2020-3,2020-06-04 06:00:00,2020-06-06 06:00:00,41.98230005800724,40.0,23.371038441738488,23.1667,-83.44404388546944,-90.1667
AMANDA:CRISTOBAL-2020-3,2020-06-04 06:00:00,2020-06-07 06:00:00,44.943823451176286,45.0,27.46432602494955,26.8333,-76.42569741964341,-90.0667
AMANDA:CRISTOBAL-2020-3,2020-06-04 06:00:00,2020-06-08 06:00:00,46.507474668323994,35.0,32.099581959670786,30.4,-68.95555070400238,-90.6
AMANDA:CRISTOBAL-2020-3,2020-06-04 06:00:00,2020-06-09 06:00:00,46.609844751656055,25.0,36.96482648917437,35.7,-62.234109999090435,-92.4
AMANDA:CRISTOBAL-2020-3,2020-06-04 09:00:00,2020-06-05 09:00:00,38.953578025102615,30.0,21.11932184944153,18.905,-83.66197941184045,-90.0807
AMANDA:CRISTOBAL-2020-3,2020-06-04 09:00:00,2020-06-06 09:00:00,40.99552050232887,42.0,23.733636566400527,23.4883,-82.91157735288144,-90.1386
AMANDA:CRISTOBAL-2020-3,2020-06-04 09:00:00,2020-06-07 09:00:00,44.355973564088345,45.0,27.66971715447307,27.5517,-75.7411594825983,-89.9786
AMANDA:CRISTOBAL-2020-3,2020-06-04 09:00:00,2020-06-08 09:00:00,46.79783474653959,32.0,32.2501116332233,31.0429,-68.24493710458279,-91.131
AMANDA:CRISTOBAL-2020-3,2020-06-04 09:00:00,2020-06-09 09:00:00,47.63649098575115,25.0,36.88673655693531,37.0617,-62.01708175256849,-92.3005
AMANDA:CRISTOBAL-2020-3,2020-06-04 12:00:00,2020-06-05 12:00:00,39.12546560168266,30.0,20.9402411715433,19.5333,-83.45677405774595,-89.9667
AMANDA:CRISTOBAL-2020-3,2020-06-04 12:00:00,2020-06-06 12:00:00,40.341977924108505,45.0,23.325091359817982,23.8,-82.60057814538479,-90.1
AMANDA:CRISTOBAL-2020-3,2020-06-04 12:00:00,2020-06-07 12:00:00,43.696978725492954,45.0,27.177029684209824,28.2,-75.5791597995162,-89.9
AMANDA:CRISTOBAL-2020-3,2020-06-04 12:00:00,2020-06-08 12:00:00,46.29440311342478,30.0,31.52944704859257,31.8,-68.63437677681446,-91.6
AMANDA:CRISTOBAL-2020-3,2020-06-04 12:00:00,2020-06-09 12:00:00,47.35194280743599,25.0,36.23933544051647,38.4333,-62.51894721135497,-92.0667
